story_id,tweet_count,retweet_count,reply_count,total_engagement
story_reviews_00000,212,191,19,422
story_reviews_00001,32,1,0,33
story_reviews_00002,43,80,10,133
story_reviews_00003,101,6,2,109
story_reviews_00004,28,4,0,32
story_reviews_00005,164,91,41,296
story_reviews_00006,67,5,0,72
story_reviews_00007,22,4,0,26
story_reviews_00008,549,383,31,963
story_reviews_00009,300,204,32,536
story_reviews_00010,45,8,0,53
story_reviews_00011,266,142,105,513
story_reviews_00012,8,0,0,8
story_reviews_00013,223,299,31,553
story_reviews_00014,158,107,3,268
story_reviews_00015,139,95,42,276
story_reviews_00016,37,126,25,188
story_reviews_00017,323,75,7,405
story_reviews_00018,141,21,1,163
story_reviews_00019,42,3,0,45
story_reviews_00020,32,4,0,36
story_reviews_00021,24,30,6,60
story_reviews_00022,90,4,0,94
story_reviews_00023,27,8,3,38
story_reviews_00024,95,18,0,113
story_reviews_00025,78,18,2,98
story_reviews_00026,35,7,0,42
story_reviews_00027,67,11,1,79
story_reviews_00028,202,272,100,574
story_reviews_00029,1048,381,49,1478
story_reviews_00030,17,18,1,36
story_reviews_00031,28,50,7,85
story_reviews_00032,93,117,9,219
story_reviews_00033,52,0,0,52
story_reviews_00034,19,1,0,20
story_reviews_00035,105,99,115,319
story_reviews_00036,19,3,0,22
story_reviews_00037,174,102,106,382
story_reviews_00038,42,11,1,54
story_reviews_00039,17,3,0,20
story_reviews_00040,103,15,0,118
story_reviews_00041,53,60,4,117
story_reviews_00042,103,17,2,122
story_reviews_00043,21,15,4,40
story_reviews_00044,8,0,0,8
story_reviews_00045,49,28,4,81
story_reviews_00046,142,93,13,248
story_reviews_00047,86,73,33,192
story_reviews_00048,25,9,1,35
story_reviews_00049,135,60,5,200
story_reviews_00050,490,155,6,651
story_reviews_00051,377,592,27,996
story_reviews_00052,96,42,13,151
story_reviews_00053,123,31,1,155
story_reviews_00054,124,21,1,146
story_reviews_00055,125,103,11,239
story_reviews_00056,200,164,10,374
story_reviews_00057,199,178,26,403
story_reviews_00058,104,134,15,253
story_reviews_00059,112,141,40,293
story_reviews_00060,49,26,1,76
story_reviews_00061,42,46,5,93
story_reviews_00062,10,19,1,30
story_reviews_00063,13,0,0,13
story_reviews_00064,71,36,2,109
story_reviews_00065,401,378,76,855
story_reviews_00066,498,246,26,770
story_reviews_00067,33,5,1,39
story_reviews_00068,39,5,0,44
