story_id,text,label,tweet_count,retweet_count,reply_count,total_engagement
story_reviews_00000,"Guardian jumps to conclusions about an Alzheimer’s study that hasn’t even begun

The story’s headline states: “Virtual reality to help detect early risk of Alzheimer’s.” That is misleading. The researchers haven’t even recruited study participants yet, much less conducted the study or analyzed the results.

The story focuses on a forthcoming study that aims to evaluate if virtual reality technology can be used to identify people who will eventually develop Alzheimer’s disease.
The story’s headline states: “Virtual reality to help detect early risk of Alzheimer’s.” That is misleading. The researchers haven’t even recruited study participants yet, much less conducted the study or analyzed the results. The story also fails to describe how potential diagnosis might work, what the technique may cost, or what risks are involved. It’s also not clear whether any of the researchers have a potential conflict of interest. In short, the story raises far more questions than it answers. That’s problematic.",fake,212,191,19,422
story_reviews_00001,"In story on experimental contraceptive gel, Reuters lets drug company control the narrative

This leaves both investors and lay audiences without enough information to evaluate how useful the new product will be, should it pass muster with the FDA.

Reuters reports on a new birth control product, still in development phase, that showed good efficacy, at least according to an unpublished company study. The product, a gel that lowers vaginal pH to make a hostile environment for sperm, would add a new contraceptive option to a lucrative market.
However, the story focuses on company success — increasing stock value and stoking excitement in investment circles — more than the specifics of the product or the details of the company-sponsored study. No study limitations are mentioned. This leaves both investors and lay audiences without enough information to evaluate how useful the new product will be, should it pass muster with the FDA.",fake,32,1,0,33
story_reviews_00002,"Using a single patient anecdote, ABC News hails DNA fertility test as ‘breakthrough’

Breakthrough? Based on the story of one patient?  We’re told the procedure hasn’t been done often. But how often, and what happened to the other women?

ABC News pursues a story idea they heard about in a special issue of National Geographic magazine and calls it a “breakthrough fertility test.” But what ABC delivers is one satisfied success story. We’re given no broader context other than the vague reference to the fact that it hasn’t been tried “on many” women. How many? And with what results? How can the audience judge whether the breakthrough label fits in this case? They can’t.",fake,43,80,10,133
story_reviews_00003,"Hard to find the journalism in this brief Reuters story on clinical trial results for psoriasis drug

The story mostly just rehashes a drug company news release.

This is a brief news story about a drug company announcement of clinical trial results. Because patients as well as investors will read the story, it’s important that the story address details such as cost, side effects and limitations of the trial, even if only briefly. Instead, this story mostly just rehashes the company news release.",fake,101,6,2,109
story_reviews_00004,"A little more context would have boosted already-strong HealthDay story on drug for hot flashes

Did the study findings really earn a label of “game-changing?”

The San Antonio Breast Cancer Symposium typically generates extensive media coverage of new research studies. However, not all of the studies presented are of the same caliber and some will never undergo the peer review that will lead them to be published in a medical journal. This means reporters needs to be at the top of their game when evaluating the news releases they receive about studies that will be presented at the meeting.
This story from HealthDay does many things right — it covers costs, side effects, study limitations, and more. This earned it five stars from us. However, we do think the story would have been even stronger if it had better emphasized a key fact: The overall reduction in hot flashes was roughly 28 to 23 in the drug group and 28 to 25 in the placebo group. That’s not much, and raises eyebrows in light of a physician in the story calling it “game-changing.”",real,28,4,0,32
story_reviews_00005,"Props to NPR for highlighting the need for balanced decision-making around statins

This story could have provided a bit more on costs, alternatives, and how this study was performed.

The story reports on a study that re-assessed who benefits from taking a statin to prevent heart disease, with different risk thresholds based on sex, age group, and statin type.
It reports the view that current guidelines “haven’t adequately considered” the harms from taking these widely used drugs.
The story laudably focuses attention on potential adverse events and a need for balanced decision-making. It also incorporated a variety of sources. In our view, the story could done a better job in discussing costs, the quality of evidence, and alternative strategies to prevent heart disease.",real,164,91,41,296
story_reviews_00006,"Independent source injects caution into a HeathDay story on ‘nerve zap’ for back pain

It’s too bad those comments don’t appear until the end.

This story describes research results presented at a radiology meeting that compared treating patients with lower back pain from disk herniation with either a pulsed radiofrequency (pRF) probe or multiple steroid injections.
We also reviewed a news release about this research.
Among the story’s strengths: It alerts readers that the study — presented as an abstract — has yet to be peer-reviewed and published, and it provides cautious comments from an independent source, although they appear at the very end.
However, the story leaves readers in the dark about how the treatment was evaluated and what it costs, and misses some important limitations with the evidence.
It largely ignored potential harms, including the possibility that some patients might be treated unnecessarily because the cause of back pain can be difficult to diagnose.",fake,67,5,0,72
story_reviews_00007,"Newsweek trumpets an ‘aggressive’ new cancer drug, but where’s the data?

This story relies on a news release, and it’s full of holes. Cost, harms, evidence, who might benefit — all go unaddressed.

This story is based on an FDA news release announcing the approval of a drug to treat cancer that springs from an abnormality called neurotrophic receptor tyrosine kinase, or NTRK, gene fusion.
The story accurately reports that Vitrakvi (larotrectinib) is the second drug approved for use based on a tumor biomarker, rather than where the cancer is located in the body.
However, it omits important information like the drug’s hefty price tag ($400,000 a year), its harms, the lack of evidence to show it prolongs life or improves the quality of patients’ lives, and the fact that it applies to a very small number of patients.
It’s also larded with generic statements extolling the virtues of targeted cancer therapies, with no comments from independent sources.",fake,22,4,0,26
story_reviews_00008,"USA Today provides rosy speculation about an Alzheimer’s vaccine not yet tested in humans

The story played up wishful conjecture about slashing dementia cases in half.

This story reports on a study done in laboratory mice that showed a vaccine decreased the build-up of two proteins, amyloid and tau, that are associated with Alzheimer’s.
The story mentions this was a mouse study and acknowledges it isn’t the only potential avenue under study to arrest those harmful substances.
However, it gives an overly optimistic spin, using the word “promising” and playing up a speculative comment in a UT Southwestern Medical Center news release that dementia cases “could drop by half” if there’s a vaccine that delays the onset of Alzheimer’s by five years.
The story also doesn’t caution that success in animals often doesn’t translate to benefits in humans, and that other treatments targeting these proteins have not panned out. Also missing: discussions of costs and potential harms and comments from independent sources.",fake,549,383,31,963
story_reviews_00009,"CNN delivers a balanced report on peanut allergy treatment

One girl’s story illustrates harms as well as benefits.

This CNN News story describes a new treatment for kids with peanut allergy called AR101, which could help protect against severe reactions to small amounts of peanut ingestion. It’s one of two stories we reviewed about this important and newsworthy study. The other is from Fox News.
This report is appropriately cautious, emphasizing that the treatment is not a cure but reduces the threat from accidental exposure. In addition, the story details the commitment that treatment requires and the side effects that can occur. However, it could have done a better job by addressing the cost of this drug and giving the dropout rate of those on the treatment.",real,300,204,32,536
story_reviews_00010,"Fox spreads ‘breakthrough’ claim but no real reporting on peanut allergy treatment

Harms and costs aren’t addressed.

This Fox News story describes a new treatment for kids with peanut allergy called AR101, which could help protect against severe reactions to peanut ingestion. It’s one of two stories we reviewed about this important and newsworthy study. The other was from CNN.
This story does not appear to contain original reporting. Instead it relies on a news release, including multiple quotes from the study authors, one using the unfortunate word “breakthrough.” Significantly, it doesn’t address costs or harms.",fake,45,8,0,53
story_reviews_00011,"Bloomberg uncritically touts ‘greater effectiveness’ of cell-based flu vaccine

The manufacturer calls this a “real advance.”  The story should have included some independent sources.

This story reported the claim of a company called Sequirus that its cell-based flu vaccine, Flucelvax, does a better job of preventing flu than traditional egg-based vaccines. The company called cell-based technologies “a real advance.”
The story provided comparative cost data and established the availability of this product. But it didn’t acknowledge the numerous limitations of reporting on an apparently unpublished and non-peer-reviewed company study that used observational data based on one flu season. Nor did it provide absolute risk reduction data to show the size of the purported benefit.
Further, there were no independent sources who might scrutinize the claim that cell-based shots are a “real advance” that “will help tremendously in the confidence for consumers to go out and get vaccinated.”",fake,266,142,105,513
